166.73 -45.60 15 -1.61 2.45 -0.84 -1.65 0.06 0.47 24 X Y 093003L 5.6
166.60 -45.06 15 3.00 -0.49 -2.51 -0.53 -3.10 -1.50 25 X Y 110203C 6.4
166.15 -44.73 15 6.31 -0.50 -5.81 0.32 -0.96 -3.68 23 X Y 110203F 5.2
164.91 -46.36 40 5.07 -1.58 -3.49 -0.42 -1.83 -2.71 26 X Y 112204C 7.1
176.02 -41.42 19 3.74 -0.12 -3.62 -1.41 5.31 -1.33 23 X Y 200501180836A 5.2
176.14 -41.56 27 3.44 -0.60 -2.84 -0.21 2.40 -0.55 23 X Y 200501180926A 5.1
175.16 -41.21 31 -0.86 0.69 0.17 -0.28 0.14 0.46 24 X Y 200501201856A 5.3
175.79 -41.56 18 1.22 -1.10 -0.12 -0.22 3.61 -2.64 23 X Y 200501311731A 5.1
173.66 -40.17 153 -0.44 0.73 -0.29 0.82 -0.97 -0.20 24 X Y 200503131508A 5.4
166.62 -45.10 12 5.58 -1.94 -3.64 -3.44 -1.87 -4.01 23 X Y 200503140804A 5.2
169.97 -44.39 12 0.25 0.21 -0.46 -0.37 1.99 -1.79 23 X Y 200504020207A 4.9
168.81 -43.88 12 0.65 0.61 -1.27 0.76 -0.53 -0.68 24 X Y 200505021535A 5.4
168.75 -43.93 12 0.86 2.33 -3.19 0.38 -1.76 -1.78 23 X Y 200505021540A 5.0
179.67 -38.24 12 2.73 0.29 -3.02 2.29 4.77 -1.03 23 X Y 200505131707A 5.1
164.33 -49.13 24 0.58 0.62 -1.20 0.86 -0.07 0.30 24 X Y 200511061328A 5.4
173.42 -40.56 185 -2.18 -2.05 4.23 -0.73 -0.73 1.03 23 X Y 200602151215A 5.1
165.69 -46.97 41 3.07 -2.54 -0.53 -3.07 -3.34 0.25 23 X Y 200604150714A 5.2
172.52 -41.61 93 -3.21 3.87 -0.67 3.79 -0.80 7.14 23 X Y 200608130429A 5.3
176.68 -38.13 93 1.02 -1.13 0.11 1.97 0.59 3.05 23 X Y 200611281854A 5.0
178.50 -39.47 12 -0.76 3.45 -2.68 -1.05 1.55 -2.03 23 X Y 200709261054A 5.1
164.10 -49.26 13 1.33 -0.02 -1.32 0.49 -0.72 -0.26 27 X Y 200709300523A 7.5
164.01 -49.36 31 0.56 0.37 -0.93 0.55 -0.11 0.23 26 X Y 200709300947A 6.6
164.74 -47.91 17 0.11 5.13 -5.24 0.68 -1.77 0.54 23 X Y 200710020651A 5.1
