 UNICAS data file          : CPT_18 (at 58 m below ML).000           
 Output using command file : Qc+Qt+Qn+Fs+U2+Rf+Bq.ucf

 ASCII file created at : date          :03-Jul-2015
                         time          :11:13:12
 Project number                        :N6016/01 (3)                                                                                        
 Date of testing                       :15-Apr-2015                                                                                         
 Location                              :BH-WFS1-1                                                                                           
 Test name                             :CPT18
 Penetrometer                          :CP10-CF50PB10
 Serial no                             :1706-1913

 Table description:
 Column id                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Qnet-                                 :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]


 Data table:
  Rec    Depth      Time       Cone      Qnet-         qt   Friction     Pore 2         Bq Fric_ratio           
   No        m         s        MPa        MPa        MPa        MPa        MPa          -          %           
   69   59.360    239.76     5.2678     4.5662     5.7220     0.1416     1.8304     0.2679     2.6899           
   70   59.380    240.73     5.3082     4.6225     5.7787     0.1404     1.8970     0.2787     2.6461           
   71   59.400    241.73     5.2870     4.6138     5.7703     0.1385     1.9533     0.2903     2.6179           
   72   59.420    242.71     5.2133     4.5488     5.7058     0.1364     1.9746     0.3025     2.6141           
   73   59.440    243.69     5.1764     4.5267     5.6841     0.1339     2.0822     0.3173     2.5849           
   74   59.460    244.68     5.1153     4.4988     5.6566     0.1331     2.1556     0.3491     2.6006           
   75   59.480    245.67     5.1483     4.5215     5.6796     0.1306     2.1237     0.3385     2.5388           
   76   59.500    246.66     5.1549     4.5273     5.6859     0.1280     2.1221     0.3377     2.4835           
   77   59.520    247.66     5.1623     4.5322     5.6912     0.1292     2.1159     0.3354     2.5026           
   78   59.540    248.65     5.1937     4.5706     5.7299     0.1300     2.1654     0.3389     2.5049           
   79   59.560    249.65     5.2300     4.6219     5.7816     0.1314     2.2134     0.3485     2.5130           
   80   59.580    250.64     5.3254     4.7262     5.8863     0.1297     2.2601     0.3486     2.4382           
   81   59.600    251.63     5.4694     4.8889     6.0493     0.1266     2.3317     0.3525     2.3161           
   82   59.620    252.63     5.5175     4.9416     6.1025     0.1266     2.3459     0.3529     2.2943           
   83   59.640    253.62     5.5222     4.9619     6.1232     0.1266     2.4282     0.3643     2.2917           
   84   59.660    254.62     5.4432     4.8947     6.0563     0.1257     2.4439     0.3792     2.3077           
   85   59.680    255.61     5.3586     4.8033     5.9653     0.1249     2.4260     0.3810     2.3296           
   86   59.700    256.60     5.3211     4.7617     5.9241     0.1272     2.4090     0.3812     2.3913           
   87   59.720    257.60     5.3308     4.7724     5.9352     0.1260     2.4207     0.3815     2.3634           
   88   59.740    258.59     5.3330     4.7736     5.9368     0.1236     2.4081     0.3808     2.3187           
   89   59.760    259.59     5.4227     4.8551     6.0187     0.1228     2.3844     0.3680     2.2683           
   90   59.780    260.57     5.6999     5.1417     6.3057     0.1193     2.4373     0.3551     2.1016           
   91   59.800    261.57     6.1749     5.6313     6.7957     0.1153     2.4929     0.3349     1.8805           
   92   59.820    262.56     6.7804     6.2254     7.3902     0.1171     2.3950     0.2959     1.7363           
   93   59.840    263.55     7.0857     6.4798     7.6450     0.1170     2.1498     0.2531     1.6579           
   94   59.860    264.53     7.2616     6.6310     7.7966     0.1252     2.1548     0.2324     1.7283           
   95   59.880    265.52     7.5386     6.8540     8.0200     0.1334     1.9008     0.1936     1.7759           
   96   59.900    266.51     7.7747     7.0690     8.2354     0.1439     1.9561     0.1759     1.8488           
   97   59.920    267.49     7.8604     7.1506     8.3174     0.1469     1.8338     0.1718     1.8743           
   98   59.940    268.47     7.6747     6.8639     8.0311     0.1508     1.5397     0.1206     1.9494           
   99   59.960    269.45     7.2623     6.4770     7.6446     0.1455     1.5461     0.1436     1.9910           
  100   59.980    270.42     7.2418     6.5224     7.6904     0.1380     1.8870     0.1830     1.9216           
  101   60.000    271.40     7.8447     7.1811     8.3495     0.1243     1.9710     0.1979     1.6135           
  102   60.020    272.38     8.4888     7.8033     8.9721     0.1461     1.8910     0.1709     1.7386           
  103   60.040    273.36     9.0712     8.4132     9.5824     0.1681     1.9414     0.1720     1.8946           
  104   60.060    274.33     9.8806     9.0733    10.2429     0.1757     1.1468     0.0938     1.8117           
  105   60.080    275.29    10.7102     9.6337    10.8037     0.1873     0.2993    -0.0235     1.7949           
  106   60.100    276.26    10.5844     9.4569    10.6273     0.1800     0.1102    -0.0454     1.6634           
